age,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,lg_id,mp,name,obpm,orb_pct,ows,per,pid,pos,ring,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48
28,24.2,0.0,3.4,-3.6,4.6,0.0,.167,.167,5,NBA,23,Scott Brooks,7.0,5.3,0.1,22.8,3698,PG,True,1993-94,0.0,HOU,0.0,4.9,.854,13.0,0.0,0.1,.277
31,0.0,0.0,-4.4,-3.5,0.0,0.0,.000,.500,4,NBA,7,Scott Brooks,-0.9,0.0,0.0,14.0,3698,PG,False,1996-97,0.0,NYK,0.0,0.0,.615,16.9,0.0,0.0,.159
32,44.9,0.0,-13.7,-10.6,0.0,0.0,.000,2.000,1,NBA,8,Scott Brooks,-3.1,0.0,0.0,14.9,3698,PG,False,1997-98,0.0,CLE,0.0,0.0,.532,11.8,0.0,0.0,.189
24,0.0,0.0,-37.0,-23.1,22.4,0.0,.143,.286,2,NBA,5,Kevin Brooks,-14.0,23.8,0.0,15.5,3699,SF,False,1993-94,0.0,DEN,0.0,23.1,.317,72.8,0.0,0.0,-0.299
29,23.2,0.0,1.9,0.9,31.4,0.0,.667,.000,4,NBA,11,Michael Brooks,1.0,9.1,0.0,16.1,3700,SF,False,1987-88,0.0,DEN,0.0,19.5,.500,11.2,0.0,0.0,.172
22,33.2,1.3,6.5,0.3,10.6,0.0,,.486,3,NBA,108,Gary Brokaw,6.2,0.0,0.5,24.2,3703,SG,False,1975-76,1.3,MIL,,6.2,.701,,0.2,0.4,.199
23,42.0,1.3,4.5,-0.9,2.4,0.1,,.316,3,NBA,44,Gary Brokaw,5.4,5.8,0.0,16.9,3703,SG,False,1976-77,2.1,CLE,,4.3,.462,,0.1,0.1,.085
22,0.0,28.7,7.5,2.7,0.0,0.0,.000,.000,1,NBA,2,Mike Brittain,4.8,57.1,0.0,50.0,3707,C,False,1985-86,0.0,SAS,0.0,31.7,.500,43.4,0.0,0.0,.164
24,17.2,0.0,0.4,-0.4,4.7,0.1,.029,.686,7,ABA,97,Allan Bristow,0.8,9.2,0.1,13.9,3710,SF,False,1975-76,2.4,SAA,14.9,6.9,.494,21.7,0.0,0.2,.101
25,33.5,0.0,-0.1,1.3,4.2,0.0,,1.000,2,NBA,28,Allan Bristow,-1.4,10.1,-0.1,9.6,3710,SF,False,1976-77,3.1,SAS,,7.5,.309,,0.0,-0.1,-0.139
26,17.7,0.0,1.0,-0.2,14.0,0.0,,.400,5,NBA,51,Allan Bristow,1.2,8.5,0.1,16.2,3710,SF,False,1977-78,1.8,SAS,22.1,11.3,.624,17.8,0.0,0.1,.133
27,21.7,1.6,1.1,1.7,9.2,0.1,,.429,13,NBA,163,Allan Bristow,-0.6,7.3,0.2,15.3,3710,SF,False,1978-79,2.5,SAS,15.9,8.2,.481,16.5,0.1,0.3,.097
23,,,,,,0.0,,1.000,3,BAA,,Aud Brindley,,,0.2,,3712,,False,1946-47,,NYK,,,.579,,,0.2,
23,6.5,,,,,0.4,,.281,11,NBA,204,Bill Bridges,,,0.1,16.4,3714,PF,False,1962-63,,STL,,,.473,,,0.5,.108
